dataset_id,window,sensor_scope,comparison_feature_set,feature_set,model_id,validation_scheme,season_window,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
any_sensor_3d,3d,any_sensor,O4_bands_indices,B0_F3_same_subset,ridge_alpha_1,river_year_groupkfold,spring_freshet_provisional,85,5,,2.4748271780986415,1.7358355353490083,1.0306332882449425,0.6701556811468292,0.0023240751858799435,-0.31369558098717576,0.8361795642498607,0.8203747897606563
any_sensor_3d,3d,any_sensor,O4_bands_indices,B0_F3_same_subset,ridge_alpha_1,river_year_groupkfold,summer,47,5,,1.9540684909974833,1.4834566721071138,1.097760446008536,0.6939030899545522,-0.08125761546930059,-0.19456089029054802,0.8364414462745016,0.8343285163093561
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,linear_regression,leave_one_river_out,early_season,61,6,,3.4548585486193018,2.8891871308599955,3.021894224074745,0.3901280945443828,-0.06315944901904133,-0.49432588994823945,0.5898158152381615,0.6291927378444233
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,linear_regression,leave_one_river_out,late_season,31,6,,2.515855120927411,2.015014981868494,1.8052748042243412,-1.1725916664320164,-0.0231962872052862,-0.5552793095955648,0.2081484638896112,0.1568756447586327
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,linear_regression,leave_one_river_out,spring_freshet_provisional,85,6,,3.4127097880817434,2.820330930529696,2.620256850773659,0.3727827831736371,-0.02468006616864477,-0.49432588994823945,0.5814509191059717,0.6164337501446644
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,linear_regression,leave_one_river_out,summer,47,6,,3.2332059720697988,2.688253200436523,2.3158757592905665,0.16199593283535807,0.2541314863949499,0.20046487120010603,0.5358082572540291,0.4654623847718971
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,linear_regression,leave_one_year_out,early_season,60,17,,2.7634546264655153,1.9950453507487895,1.3249366979648682,0.612934967407119,0.06026258231754549,-0.3504238073987809,0.8217541243624878,0.7830992452450095
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,linear_regression,leave_one_year_out,late_season,31,14,,1.763606088263104,1.3816403603481804,1.0307877362637843,-0.06760360623873884,0.27438110527901666,0.2643729900911387,0.5768455491514419,0.5808187059866952
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,linear_regression,leave_one_year_out,spring_freshet_provisional,84,17,,2.6684358353195643,1.8750923283452,1.198524786921732,0.6176625126195587,-0.029309584598710685,-0.3805153787208182,0.8188215808342739,0.7860065749366902
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,linear_regression,leave_one_year_out,summer,46,16,,2.2441031599662282,1.6213715704770812,0.9880328250609596,0.6035992604978803,-0.06132562660371716,-0.19137505422490886,0.7906245275185727,0.7776581822106022
