dataset_id,window,sensor_scope,comparison_feature_set,feature_set,model_id,validation_scheme,group_type,group_value,n,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r,p05_residual,p95_residual,flags
any_sensor_0d,0d,any_sensor,O4_bands_indices,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,sensor,HLS,15,1.8428386970838027,1.5027539185753895,1.17924777064583,0.8160639799048733,0.4448015971135926,0.36470881282084466,0.7989279329607344,0.9097572157896244,-1.8902063502833444,2.951474944856323,
any_sensor_0d,0d,any_sensor,O4_bands_indices,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,sensor,Landsat,30,2.4367140771077103,1.7035032430640622,1.1704996211298655,0.736838642339896,0.24940882756115995,-0.14641563157325077,0.894725216620345,0.8642380625297561,-2.443663102130357,5.2812992214375765,
any_sensor_0d,0d,any_sensor,O4_bands_indices,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,sensor,Sentinel-2,28,2.044967350913286,1.4519111516012073,0.9662433336415934,0.46395631540308435,-0.3712985014232629,-0.2689658628910885,0.67807284226948,0.7430187268154728,-3.757649487822332,2.0051497030433763,
any_sensor_0d,0d,any_sensor,O4_bands_indices,O4_bands_indices,linear_regression,leave_one_year_out,sensor,HLS,15,1.959453499474679,1.6410562340626977,1.9165839363740096,0.7920484978986776,-0.13703274873848176,-0.2806594802127478,0.7524578518489243,0.8949941592289479,-2.6954970063257764,2.673005049491018,
any_sensor_0d,0d,any_sensor,O4_bands_indices,O4_bands_indices,linear_regression,leave_one_year_out,sensor,Landsat,30,2.5435850586497986,1.8610747510145116,1.1575867434976739,0.7132486282217432,0.29185739468741584,0.22557992658013393,0.9109727143350927,0.8471242843738627,-3.651151765499294,4.940705580564894,
any_sensor_0d,0d,any_sensor,O4_bands_indices,O4_bands_indices,linear_regression,leave_one_year_out,sensor,Sentinel-2,28,2.626154582418456,1.9790141724746828,1.3169274694786406,0.11596797328020514,-0.06150559598064361,-0.18126293331925813,0.6063509671485258,0.6259584349690679,-3.875066499639839,4.216869016590383,
any_sensor_0d,0d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,leave_one_year_out,sensor,HLS,15,1.7813862176567143,1.5272091729629345,1.617870342487663,0.8281267399929693,-0.12409276112037088,-0.23875275889176706,0.813226419456676,0.9154812014444609,-2.638851509256227,2.587906265236582,
any_sensor_0d,0d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,leave_one_year_out,sensor,Landsat,30,2.5565909116858605,1.8880778768417628,1.268657324965801,0.7103086983112307,0.24757169419452088,0.25100960661277116,0.8976186066243411,0.8455449844122149,-3.6237663903765127,5.108871621924113,
any_sensor_0d,0d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,leave_one_year_out,sensor,Sentinel-2,28,2.386255820892485,1.7658612571038483,1.1263570182377514,0.2701032530675448,0.019909399338717475,-0.11847134908792567,0.5587188821445331,0.656136265658268,-3.5994202042851047,3.5274765864461664,
any_sensor_0d,0d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_1,leave_one_year_out,sensor,HLS,15,1.6506229604668652,1.3720090735161763,1.5640238758620475,0.8524334572519251,-0.23176128198508705,-0.16918939406923528,0.8203756627046468,0.9268314195831179,-2.602210754747059,2.271345736568244,
any_sensor_0d,0d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_1,leave_one_year_out,sensor,Landsat,30,2.5736428722359985,1.8553842976709434,1.2826956990819731,0.7064314425562224,0.2373429359343745,0.24909771742780662,0.899399154319108,0.8463992920746208,-3.3856981054489386,5.4649255993208685,
any_sensor_0d,0d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_1,leave_one_year_out,sensor,Sentinel-2,28,2.1693237619713623,1.6125505125598036,0.9716706196243337,0.39677938758159637,0.09149383741960301,-0.179434546910767,0.6088146956832149,0.6882634913295781,-3.299472922052078,3.054866239939835,
any_sensor_0d,0d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_10,leave_one_year_out,sensor,HLS,15,1.6864404713446206,1.4871069414359936,1.2272115510327826,0.845959765713633,-0.4116884186996451,-0.9022964067133321,0.8793569195004056,0.9320425435424653,-2.534602130429954,2.1483728734803056,
any_sensor_0d,0d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_10,leave_one_year_out,sensor,Landsat,30,2.989643359401382,2.025288617128908,1.35164697169864,0.6038572237826327,0.25064870318920396,-0.2939020631906435,0.8653461796566918,0.8076325481131633,-2.7864966594649747,6.844102222625238,
any_sensor_0d,0d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_10,leave_one_year_out,sensor,Sentinel-2,28,2.138072691749415,1.6679429854033925,1.4290604115726788,0.414034077830742,0.1521934484610308,0.031068058836841494,0.5132767780602644,0.651020729397687,-2.803876461402055,3.435316108925191,
