dataset_id,window,sensor_scope,comparison_feature_set,feature_set,model_id,validation_scheme,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
any_sensor_7d,7d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_10,river_year_groupkfold,170,5,680,2.436447578981728,1.8177534435914735,1.3975941142532813,0.6263107204281201,0.05107658917203658,-0.24840998785157042,0.8157995029176303,0.792741444570586
any_sensor_7d,7d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_100,leave_one_river_out,170,6,850,3.373231412809035,2.713284353916133,2.4625286981373686,0.2837101992413342,-0.10920389358683884,-0.8179188218962488,0.5492366513742738,0.5378608091840258
any_sensor_7d,7d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_100,leave_one_year_out,168,18,2892,2.8435392457739943,2.209641800069348,1.9421917956153165,0.4911022704055058,0.01237804408893297,-0.6870667824609971,0.7512900235211124,0.7368420189424145
any_sensor_7d,7d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_100,river_year_groupkfold,170,5,680,2.9445426372174963,2.3098961577709574,1.9876533733879747,0.45420168577884545,0.04806455539435367,-0.7445576329768162,0.7537935425914319,0.7064989119124427
any_sensor_7d,7d,any_sensor,O5_sensor_aware_any_sensor,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,170,6,850,3.1012880146363635,2.5719954335782216,2.438511413502163,0.39454663560373604,-0.07129259539858658,-0.6144668039538574,0.6415738443419159,0.6455701243609692
any_sensor_7d,7d,any_sensor,O5_sensor_aware_any_sensor,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,168,18,2892,2.263345074633701,1.6792767022068023,1.3210774964678222,0.6775862127941421,0.0005022982990480841,-0.05021696999892655,0.8246461824302432,0.8232148536090766
any_sensor_7d,7d,any_sensor,O5_sensor_aware_any_sensor,B0_F3_same_subset,ridge_alpha_1,river_year_groupkfold,170,5,680,2.236127586292943,1.6626862187268276,1.2455501817019226,0.6852326671915249,0.03061466534823127,-0.10483795238220095,0.8273560030083664,0.8278291972082383
any_sensor_7d,7d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,linear_regression,leave_one_river_out,170,6,850,3.128417025794417,2.5456700020595724,2.3597847892325863,0.3839077057857655,0.08424612786718699,-0.3188017756723669,0.6584640197545971,0.6501403126802046
any_sensor_7d,7d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,linear_regression,leave_one_year_out,168,18,2892,2.436769413322647,1.8259511174592895,1.3863767849357211,0.6262846560503563,0.016173133059065908,-0.15778880995462208,0.8064368567816997,0.7961902106685571
any_sensor_7d,7d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,linear_regression,river_year_groupkfold,170,5,680,2.5278189129083852,1.9170817690605002,1.6482058408073432,0.5977570759519244,0.16880911358664927,0.0652869054007379,0.797802776132913,0.7855936987410883
any_sensor_7d,7d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,ridge_alpha_0.1,leave_one_river_out,170,6,850,3.127445338918513,2.548193774914437,2.418163336844356,0.38429036309870557,0.05569797271570224,-0.3305804441043798,0.6568884664765322,0.6485574015098167
any_sensor_7d,7d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,ridge_alpha_0.1,leave_one_year_out,168,18,2892,2.401435083671258,1.8010955575032208,1.3792640767875248,0.6370441819990336,0.0020385028887953314,-0.1234275525911257,0.8076783154279725,0.8014353515005698
any_sensor_7d,7d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,ridge_alpha_0.1,river_year_groupkfold,170,5,680,2.5131977738521263,1.8934463576936658,1.6597879272588436,0.6023968393859218,0.1566873580203004,0.060281837235312885,0.8017001331176455,0.7872988300910411
any_sensor_7d,7d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,ridge_alpha_1,leave_one_river_out,170,6,850,3.1460075436829875,2.6158149832636126,2.3865419478267866,0.37695987834163913,-0.03818406311085193,-0.632324963651036,0.6435060344860234,0.6374416477022605
any_sensor_7d,7d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,ridge_alpha_1,leave_one_year_out,168,18,2892,2.349661868463479,1.7504338667898007,1.2419741069406773,0.652525612558496,-0.012373655616289272,-0.06183673057879924,0.8102460214354014,0.8088204094049422
any_sensor_7d,7d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,ridge_alpha_1,river_year_groupkfold,170,5,680,2.468390623783399,1.8407633770362843,1.4430149961862822,0.6164479825355864,0.12352717434277648,-0.013817788820138954,0.8074844899586648,0.7915185603616606
any_sensor_7d,7d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,ridge_alpha_10,leave_one_river_out,170,6,850,3.154786554515573,2.639098186438036,2.3904257725880163,0.37347780938072606,-0.15423804554933,-0.8459385565013311,0.6293956724538659,0.6181987825098089
any_sensor_7d,7d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,ridge_alpha_10,leave_one_year_out,168,18,2892,2.3839047049381596,1.7915771351207874,1.285467058513911,0.642323965805617,-0.012822313826839632,-0.29163855967585617,0.8043905380956412,0.8028519710205837
any_sensor_7d,7d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,ridge_alpha_10,river_year_groupkfold,170,5,680,2.4761306718338605,1.854372786467609,1.5021895521497197,0.6140388294143437,0.06680728856252001,-0.22563676940613675,0.8011077739394583,0.784065547025727
any_sensor_7d,7d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,ridge_alpha_100,leave_one_river_out,170,6,850,3.3930629113070845,2.740513800548825,2.4560855716658008,0.2752631911195459,-0.11305745516780596,-0.8981507571234566,0.5389711278842467,0.5281978136806931
any_sensor_7d,7d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,ridge_alpha_100,leave_one_year_out,168,18,2892,2.871384904707383,2.2422510477553343,1.997102262053117,0.4810865998673367,0.0011315929118430866,-0.6786370113541902,0.7410116064721535,0.7269291029754023
any_sensor_7d,7d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,ridge_alpha_100,river_year_groupkfold,170,5,680,2.9648328346142123,2.330951020242619,2.021702098269345,0.4466538168016799,0.05152637205981235,-0.7035653165300233,0.7466937819670979,0.6983922459134353
hls_3d,3d,hls,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,144,6,720,2.6904979577764676,2.1499486811020927,1.8647179846806194,0.06717955713031187,-0.03606793834718679,-0.6155278091111485,0.4415156400978035,0.41715198792173835
hls_3d,3d,hls,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,144,9,1152,2.0151169919865994,1.4935761635294567,1.1695183665858702,0.4767210653910119,0.012970390667598246,-0.15281180263796812,0.7454430031879061,0.6917137130751672
hls_3d,3d,hls,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,river_year_groupkfold,144,5,576,2.0703943567258447,1.538093193564818,1.200507113490195,0.4476188216705992,-0.013250584906019202,-0.2310987094542849,0.7641975502510341,0.67265727386257
hls_3d,3d,hls,O1_quality_only,O1_quality_only,linear_regression,leave_one_river_out,144,6,720,2.6641929935696744,2.1572869842303066,2.012891960037461,0.08533073644701361,-0.07510041422098318,-0.5208808747401066,0.43892915252062326,0.44244023431777674
