dataset_id,window,sensor_scope,comparison_feature_set,feature_set,model_id,validation_scheme,year,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_river_out,2019,9,4,,2.6099809924764985,2.2417724972391913,2.3515836881724397,0.6380445918656426,0.4681942688033966,-0.13989317411874325,0.4602550748156477,0.82373143993331
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_river_out,2020,11,6,,2.5850905153182215,2.3240513050543554,2.6882575124437214,0.4843088402937705,0.06831370949318898,-1.0982758491366482,0.7272727272727273,0.6968507433248409
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_river_out,2021,14,6,,2.852261284387935,2.5358782072123733,2.3691410795093515,-0.5363095176754988,-0.6997290977272,-1.115209101307027,0.26593406593406593,0.25583210898000697
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_river_out,2022,4,2,,3.262595862806898,2.719825216395344,2.7016329430338097,0.4319988138148947,0.018192273361534284,-0.6826202920784199,0.7999999999999999,0.6613655696047378
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_river_out,2023,3,2,,1.4003822637566345,1.096597024513801,0.8328154234520451,-2.7285812046455518,-0.972229780286708,-0.8328154234520451,0.5,0.5346966856861372
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_river_out,2024,1,1,,1.0033738398778613,1.0033738398778613,1.0033738398778613,,-1.0033738398778613,-1.0033738398778613,,
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,2004,6,1,,1.6487904324623686,1.5454731607238419,1.6923076368126848,0.711070040013994,-1.3059361924612438,-1.6923076368126848,0.942857142857143,0.977710419559593
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,2005,11,1,,1.8119490798920634,1.4609904870363435,1.3316443043719848,0.4287119335575871,0.8100556246761724,0.5965413617898747,0.6636363636363638,0.8144410723868395
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,2009,12,1,,2.660754616350889,2.1913174001110356,1.9144678024551718,0.44050327450357585,-1.0168402832000298,-1.485385687142613,0.5454545454545455,0.7373165914365587
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,2010,4,1,,4.242603715290063,3.48187921678469,2.319918770114874,0.24503897931714502,3.48187921678469,2.319918770114874,1.0,0.9511735869577862
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,2011,9,1,,3.093996082100879,2.1027333523374208,1.3502986100816727,0.6348423081948786,1.3600421842190018,0.5416984102359743,0.9833333333333333,0.8913958075706054
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,2012,2,1,,1.1069403894959318,1.0901267075625607,1.0901267075625607,-5.050948276036565,-1.0901267075625607,-1.0901267075625607,0.9999999999999999,1.0
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,2013,2,1,,4.492642131691122,3.817948916841285,3.817948916841285,0.04613264066889655,2.367931458432995,2.367931458432995,0.9999999999999999,1.0
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,2014,7,1,,2.4025740113712395,1.682420487275689,0.5787544850850441,0.761412288379833,0.3485197850841156,0.15974268467423292,0.8214285714285715,0.8766912521320175
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,2015,2,1,,1.3456753805590262,1.3369981524620662,1.3369981524620662,0.8948560180088442,-1.3369981524620662,-1.3369981524620662,0.9999999999999999,1.0
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,2016,7,1,,3.272330085453461,2.0228686462859042,0.43323808473304926,-0.7493467534174465,-1.53206852935306,-0.4051287131698458,0.9285714285714288,0.8849288212491273
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,2017,6,1,,0.9971177736113375,0.7870082179789758,0.4979576890438695,0.8993906601072108,-0.07835679439146966,-0.3547932251536947,0.942857142857143,0.9680887888460014
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,2018,11,1,,1.599033827648746,1.351949782283987,1.0712233307099268,0.6745292231924037,-0.047282876865586736,0.5949730494350352,0.7972685832618591,0.8516144093960618
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,2019,9,1,,2.749865896599563,2.1339976101949696,1.886595397506782,0.5982060335132138,0.6999070657892565,1.2512329405608842,0.33473096350228926,0.7968049313955363
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,2020,11,1,,1.4456458799488117,1.0992787409117526,0.5899879753700059,0.8387268667196669,-0.1654832394627347,0.1453810704392886,0.7727272727272727,0.9216894946331876
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,2021,14,1,,2.437911662004038,1.9391884278170886,1.4301718112589608,-0.12236996625704144,-1.2430949100863748,-1.076505404235133,0.665934065934066,0.6277833252086332
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,2022,4,1,,2.6943240936563355,1.781458343109494,0.6830450709655662,0.6126332410772857,1.4682587527602897,0.6102663032265039,1.0,0.9020049743825431
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,leave_one_year_out,2023,3,1,,1.107029585048663,0.9536362050354178,0.6820276630500954,-1.3300694057674294,0.9536362050354178,0.6820276630500954,1.0,0.9999852299161671
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,river_year_groupkfold,2004,6,2,,1.626743822164897,1.576279818013204,1.603897418845254,0.7187451680849678,-1.2236247764755497,-1.603897418845254,0.942857142857143,0.9809184441484106
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,river_year_groupkfold,2005,11,3,,1.853671633115618,1.5130749301209134,1.4517168362804327,0.4020996845846585,0.6067611337568944,0.4075791252785521,0.7000000000000001,0.8145513573644358
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,river_year_groupkfold,2009,12,5,,2.7394435435035476,2.250516553975011,2.129676625970361,0.4069209138645683,-1.248805219579771,-1.6264275261252643,0.5734265734265735,0.7399169907508315
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,river_year_groupkfold,2010,4,3,,4.345433651011587,3.4877738189271,2.295141596941627,0.20799879978634694,3.4877738189271,2.295141596941627,1.0,0.9257804273207553
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,river_year_groupkfold,2011,9,3,,3.2489126600337497,2.3388251328440854,2.20658708456844,0.5973599167044665,1.0475748010139974,0.5177108575541673,0.9500000000000001,0.8302653949822816
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,river_year_groupkfold,2012,2,1,,1.2104450158702336,1.1872017194672804,1.1872017194672804,-6.23544264911155,-1.1872017194672804,-1.1872017194672804,0.9999999999999999,1.0
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,river_year_groupkfold,2013,2,2,,4.582640060271625,3.839264526414814,3.839264526414814,0.007533557561138382,2.502126659108038,2.502126659108038,0.9999999999999999,1.0
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,river_year_groupkfold,2014,7,3,,2.5942996341075575,1.8405364761018534,0.8588780709080357,0.7218143070560947,0.3024185119317466,0.32534802769645177,0.8214285714285715,0.8518384835971884
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,river_year_groupkfold,2015,2,2,,0.24268932785290626,0.22246517324592685,0.22246517324592685,0.9965801649090611,0.09699152821950574,0.09699152821950574,0.9999999999999999,1.0
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,river_year_groupkfold,2016,7,3,,3.479228307872673,2.156155520479068,1.1039731790778875,-0.9775503477256275,-1.751897045719574,-0.39206019215352406,0.9285714285714288,0.8466987073527307
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,river_year_groupkfold,2017,6,3,,1.1607322242772031,0.8155983541812418,0.5134446861489721,0.8636643392367941,-0.051489544756518825,-0.04522806460243567,0.942857142857143,0.9668799285682925
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,river_year_groupkfold,2018,11,4,,1.5015014128883408,1.3024182987313353,1.254237621268138,0.7130222751987336,-0.03640597863581869,-0.22411064537719128,0.8337151470681154,0.865383141717891
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,river_year_groupkfold,2019,9,3,,2.7999483778525716,2.1900669346544746,2.0244546649526107,0.5834372519320272,0.8577014894062285,1.476944485865582,0.435150252552976,0.8020887096737828
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,river_year_groupkfold,2020,11,3,,1.8978548938969528,1.4700670782175422,0.9845108838460153,0.7220515949794948,0.17610808623859475,0.31321602933704007,0.6636363636363638,0.8749610621223438
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,river_year_groupkfold,2021,14,4,,2.728594646203817,2.0872831216232415,1.5105020059680603,-0.4059767933561469,-1.5490592022464025,-1.33356115422237,0.6395604395604396,0.5961560116889728
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,river_year_groupkfold,2022,4,2,,2.45927161435418,1.4910528627770947,0.5129663053127043,0.6772727223527344,1.1597114232281547,0.18162486576376424,1.0,0.9114727821074156
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,river_year_groupkfold,2023,3,1,,0.6907082999327554,0.4831712513464428,0.19752486327591434,0.09293219580083867,0.4831712513464428,0.19752486327591434,1.0,0.9931607018123461
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_0.1,river_year_groupkfold,2024,1,1,,1.0982650516008796,1.0982650516008796,1.0982650516008796,,-1.0982650516008796,-1.0982650516008796,,
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_1,leave_one_river_out,2004,6,4,,3.4193122304238392,3.0875410968928185,3.551300838288339,-0.242622403898612,-1.7392327947174222,-2.7447740487456156,0.6571428571428573,0.3995146073674934
any_sensor_1d,1d,any_sensor,O2_indices,O2_indices,ridge_alpha_1,leave_one_river_out,2005,11,4,,3.4988286243794766,3.1763031761408382,3.490296106327577,-1.1301418086169273,0.037866971913219014,-1.1830918928399488,0.28181818181818186,0.3460669466596445
