candidate_key,model_id,feature_set,target_scale,validation_scheme,fold_id,fold_group,fold_year,fold_river,n_train,n_test,rivers_in_fold,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r,stress_test,overall_rmse,small_fold_n,high_rmse,high_bias,unstable_fold
B0_F3_finalized:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,B0_F3_finalized,raw,leave_one_year_out,loyo_2009,2009,2009,,517,28,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.6677188932013975,2.0842139940013396,1.794953092542177,0.5080628598134483,-0.18337694684620484,-0.012858534153289192,0.6934027087075465,0.7152410208087266,False,2.2578457483025893,False,False,False,False
B0_F3_finalized:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,B0_F3_finalized,raw,leave_one_year_out,loyo_2010,2010,2010,,515,30,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.8820359982858132,2.3005089734263082,2.020729276070004,0.47146173677481995,1.3984818057925523,1.0948061865565077,0.7570396275124475,0.7797036256224047,False,2.2578457483025893,False,False,True,True
B0_F3_finalized:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,B0_F3_finalized,raw,leave_one_year_out,loyo_2011,2011,2011,,515,30,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.3400849243579382,2.250290764434534,1.039419536568667,0.48313349241391446,1.9124279989463655,0.9049907618052417,0.871869350764121,0.8500184518951883,False,2.2578457483025893,False,False,True,True
B0_F3_finalized:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,B0_F3_finalized,raw,leave_one_year_out,loyo_2012,2012,2012,,522,23,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,1.7887736099800469,1.3184981224779144,1.0118444425213116,0.7446664232443334,-0.09110529667801719,-0.20048515467789496,0.8732394632782949,0.8749678950741836,False,2.2578457483025893,False,False,False,False
B0_F3_finalized:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,B0_F3_finalized,raw,leave_one_year_out,loyo_2013,2013,2013,,512,33,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.3117812766090715,1.7881198130515565,1.3654656487226804,0.49954784765314475,0.005449080960687498,-0.6044134585860306,0.6935807809911849,0.7257231817441254,False,2.2578457483025893,False,False,False,False
B0_F3_finalized:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,B0_F3_finalized,raw,leave_one_year_out,loyo_2014,2014,2014,,510,35,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.6478724846112196,1.7756519218303233,1.4085579708480465,0.6445884303974126,0.47750316485529537,-0.2982300634014976,0.9002735872959032,0.8360058229794098,False,2.2578457483025893,False,False,False,False
B0_F3_finalized:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,B0_F3_finalized,raw,leave_one_year_out,loyo_2015,2015,2015,,509,36,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,1.9651657562615739,1.6289519633118001,1.5484547515302673,0.6267816912700532,-0.3744374857189228,-0.5782101993623705,0.7446562924406177,0.8010076493780587,False,2.2578457483025893,False,False,False,False
B0_F3_finalized:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,B0_F3_finalized,raw,leave_one_year_out,loyo_2016,2016,2016,,508,37,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,1.9937952990855208,1.5903295024586037,1.0996242343873348,0.2186516311628448,-0.6458472109729015,-0.7573770471787551,0.7915086279597954,0.7320715779767575,False,2.2578457483025893,False,False,False,False
B0_F3_finalized:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,B0_F3_finalized,raw,leave_one_year_out,loyo_2017,2017,2017,,510,35,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.246377268638058,1.633956840001499,1.1471906565312011,0.25970004449136397,-0.2045346297672317,0.2097218283163782,0.6927392413611657,0.6705902840558337,False,2.2578457483025893,False,False,False,False
B0_F3_finalized:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,B0_F3_finalized,raw,leave_one_year_out,loyo_2018,2018,2018,,510,35,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.070611287962595,1.6657644275489407,1.3010477410628294,0.383639891205928,-0.283742079712015,-0.1489607062367293,0.6259810400465978,0.6788025302834678,False,2.2578457483025893,False,False,False,False
B0_F3_finalized:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,B0_F3_finalized,raw,leave_one_year_out,loyo_2019,2019,2019,,519,26,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2148607323739578,1.7221759425196486,1.486424535478899,0.6464754534056779,-0.18654513285013793,-0.3996044318149874,0.7848713487946566,0.81633051204539,False,2.2578457483025893,False,False,False,False
B0_F3_finalized:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,B0_F3_finalized,raw,leave_one_year_out,loyo_2020,2020,2020,,514,31,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,1.7359368590917745,1.3781608839264898,1.0856084125408776,0.653082244742288,-0.24877468779194903,-0.30967902277197235,0.7633064516129033,0.8133565527909747,False,2.2578457483025893,False,False,False,False
B0_F3_finalized:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,B0_F3_finalized,raw,leave_one_year_out,loyo_2021,2021,2021,,508,37,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,1.9667798384037045,1.5792011983632355,1.4725962975252278,0.2520659743659336,-0.7627624291459458,-0.5766638865091913,0.6792318634423897,0.6711622196280669,False,2.2578457483025893,False,False,False,False
B0_F3_finalized:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,B0_F3_finalized,raw,leave_one_year_out,loyo_2022,2022,2022,,535,10,Mackenzie;Yukon,2.2660846553129717,1.5508673794930055,0.9813139019907626,0.46434809799945664,0.75851775554948,0.48294893091442903,0.7212121212121211,0.7628686310794518,False,2.2578457483025893,False,False,False,False
B0_F3_finalized:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,B0_F3_finalized,raw,leave_one_year_out,loyo_2023,2023,2023,,533,12,Mackenzie;Yukon,1.6063298656323735,1.2637241421862944,1.1054627263713357,0.6087842624149412,0.9194188170755199,1.0558845471531237,0.8251748251748254,0.8787018727529046,False,2.2578457483025893,False,False,False,False
B0_F3_finalized:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,B0_F3_finalized,raw,leave_one_year_out,loyo_2024,2024,2024,,539,6,Mackenzie;Yukon,1.0288018842787083,0.780090474024114,0.654333125975286,-0.3805713987785717,-0.7720977633183198,-0.654333125975286,0.8285714285714287,0.8776435624940815,False,2.2578457483025893,False,False,False,False
B0_F3_finalized:ridge_alpha_10:raw:leave_one_year_out,ridge_alpha_10,B0_F3_finalized,raw,leave_one_year_out,loyo_2003,2003,2003,,540,5,Kolyma;Lena;Mackenzie;Ob;Yukon,2.2567343241932116,1.8602198174144227,1.674151641492481,0.4194197663028053,-0.8890694568855734,-1.0265924783468119,0.7,0.7138137159696071,False,2.2681901201557233,False,False,False,False
B0_F3_finalized:ridge_alpha_10:raw:leave_one_year_out,ridge_alpha_10,B0_F3_finalized,raw,leave_one_year_out,loyo_2004,2004,2004,,503,42,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.263477784464421,1.9765235046914218,1.8917322439181294,0.554700335056989,-0.7338976786353577,-1.1886210752816901,0.789949373225812,0.7779698894205598,False,2.2681901201557233,False,False,False,False
B0_F3_finalized:ridge_alpha_10:raw:leave_one_year_out,ridge_alpha_10,B0_F3_finalized,raw,leave_one_year_out,loyo_2005,2005,2005,,503,42,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,1.7374788080669308,1.4204552860765332,1.1761226392959023,0.67206102051848,-0.07034668067197676,-0.3856688006375908,0.8248359029642292,0.8201746962995231,False,2.2681901201557233,False,False,False,False
B0_F3_finalized:ridge_alpha_10:raw:leave_one_year_out,ridge_alpha_10,B0_F3_finalized,raw,leave_one_year_out,loyo_2006,2006,2006,,534,11,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.235852552929803,1.8340054217995172,1.3823525896084607,0.5782021440863223,1.0974251642761692,0.39080723230996295,0.8727272727272729,0.8259218241654249,False,2.2681901201557233,False,False,True,True
