candidate_key,model_id,feature_set,target_scale,validation_scheme,river,n,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,Kolyma,85,2.274665090455656,1.9077490104269086,1.7622314817690854,0.4365399418346435,0.01723846106501299,0.0984669243980818,0.7816266404638722,0.7265963016440904
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,Lena,87,3.1242845860417305,2.36759790542202,1.8564146396746297,0.4816894487410116,0.003650119699821373,-0.17601508600717342,0.6176149020388899,0.6966839906447992
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,Mackenzie,103,1.0750298833272718,0.8315426176565599,0.6180576770085677,0.04647862462829222,-0.0022026079241682767,-0.0846524771598478,0.5498886571400156,0.5643692105876895
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,Ob,87,2.493001085745077,2.0441050020155678,1.7212149786479891,0.13159418289933,0.003543970292073515,-0.13490448558641965,0.35569877557657525,0.3967279742173174
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,Yenisey,87,2.046298818521036,1.7063673966928186,1.5854338186356194,0.5061923450302617,-0.006442212370599273,0.14228340173355924,0.4592079562766656,0.7430390662421701
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,Yukon,96,2.201590417324399,1.6244981771757177,1.1278435097038857,0.5550164696808042,0.0015693600513702426,-0.7686311503123144,0.84812738426813,0.8137230058773052
B0_F3_finalized:ridge_alpha_0.1:raw:leave_recent_years_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_recent_years_out,Kolyma,6,1.9081144567559998,1.534853175706294,1.221693702473435,0.6884216420668661,-0.39015361152418926,-0.07211916706802413,0.5428571428571429,0.8377693050984584
B0_F3_finalized:ridge_alpha_0.1:raw:leave_recent_years_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_recent_years_out,Lena,6,1.6253222474052658,1.2657076216119467,1.1036053803078558,-9.522335648586418,-0.45100156816092846,0.11355202015822119,0.7714285714285715,0.43161424407973037
B0_F3_finalized:ridge_alpha_0.1:raw:leave_recent_years_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_recent_years_out,Mackenzie,22,1.2154886735339554,0.9406524488299554,0.6378119014910937,-0.4867490046796523,0.7489455004489295,0.5885166401175028,0.611518915866742,0.643062242700708
B0_F3_finalized:ridge_alpha_0.1:raw:leave_recent_years_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_recent_years_out,Ob,6,2.73622266127745,2.4375567640794586,1.8398534968927445,-1.2947414415939438,-1.230245460774275,-1.3554204758426032,-0.2,-0.04792692889428957
B0_F3_finalized:ridge_alpha_0.1:raw:leave_recent_years_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_recent_years_out,Yenisey,6,2.368630517161113,2.045783128329677,2.1031004301383587,-2.4809400415891445,-2.045783128329677,-2.1031004301383587,-0.08571428571428573,0.3827392912588114
B0_F3_finalized:ridge_alpha_0.1:raw:leave_recent_years_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_recent_years_out,Yukon,19,2.103850363610493,1.5996976054226353,1.0208408206142128,0.5680978706553412,-0.1659872382343084,-0.842175551531517,0.7684210526315789,0.8406875313260622
B0_F3_finalized:ridge_alpha_0.1:raw:river_year_groupkfold,ridge_alpha_0.1,B0_F3_finalized,raw,river_year_groupkfold,Kolyma,85,2.321958803459093,1.9560659242109624,1.7671887525320455,0.4128659991087055,0.09249720404337738,0.25190416530718984,0.7823596994996834,0.7243266493548778
B0_F3_finalized:ridge_alpha_0.1:raw:river_year_groupkfold,ridge_alpha_0.1,B0_F3_finalized,raw,river_year_groupkfold,Lena,87,3.1046160894063686,2.366329896223796,1.9769949709294323,0.48819481045025104,0.08724561232200989,-0.08917591854061335,0.603970334981848,0.7031078256262125
B0_F3_finalized:ridge_alpha_0.1:raw:river_year_groupkfold,ridge_alpha_0.1,B0_F3_finalized,raw,river_year_groupkfold,Mackenzie,103,1.089664564037898,0.8431730673652593,0.5961053379387034,0.020340813556576576,-0.029452206378692076,-0.1286342846450408,0.5460598385946659,0.5622468593381634
B0_F3_finalized:ridge_alpha_0.1:raw:river_year_groupkfold,ridge_alpha_0.1,B0_F3_finalized,raw,river_year_groupkfold,Ob,87,2.470286447496221,2.0358530127320593,1.7712608481828784,0.1473468120454906,0.0007871063532780553,-0.14475933344800218,0.39233238598690395,0.41256463596899917
B0_F3_finalized:ridge_alpha_0.1:raw:river_year_groupkfold,ridge_alpha_0.1,B0_F3_finalized,raw,river_year_groupkfold,Yenisey,87,2.009349973837897,1.6830196226846315,1.5389499446435986,0.523864150156329,-0.005266484251971509,0.24520671232818358,0.48017136184683606,0.7575999442570333
B0_F3_finalized:ridge_alpha_0.1:raw:river_year_groupkfold,ridge_alpha_0.1,B0_F3_finalized,raw,river_year_groupkfold,Yukon,96,2.1785148674351222,1.6142509907439895,1.1163360997627927,0.564295604687978,-0.009301674142221087,-0.7137192192662567,0.8494162801130486,0.8194915358634709
B0_F3_finalized:ridge_alpha_100:raw:leave_one_river_out,ridge_alpha_100,B0_F3_finalized,raw,leave_one_river_out,Kolyma,85,2.5649249305533672,2.0239675385676343,1.8312801798612517,0.2835637889081798,1.2147637815573813,1.6254123787333365,0.782936372607855,0.700103113999996
B0_F3_finalized:ridge_alpha_100:raw:leave_one_river_out,ridge_alpha_100,B0_F3_finalized,raw,leave_one_river_out,Lena,87,4.207286167468758,2.982505597802802,1.9585653114557449,0.06007547313352268,2.4274817191980826,1.631919890264018,0.5997958448601879,0.6476206984105685
B0_F3_finalized:ridge_alpha_100:raw:leave_one_river_out,ridge_alpha_100,B0_F3_finalized,raw,leave_one_river_out,Mackenzie,103,2.6142005226807856,2.3483024858442865,2.413041884113106,-4.638546338841282,-2.33107863961095,-2.413041884113106,0.4818708218049806,0.5011817011833318
