candidate_key,model_id,feature_set,target_scale,validation_scheme,doc_behavior_group,n,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
R3_river_specific_seasonality:ridge_alpha_100:raw:leave_one_year_out,ridge_alpha_100,R3_river_specific_seasonality,raw,leave_one_year_out,low,138,2.0366654486986286,1.7380851547010399,1.6551973607699457,-14.803590462158212,-1.6134512408245498,-1.6551973607699457,0.2017675168633283,0.1927001368326474
R3_river_specific_seasonality:ridge_alpha_100:raw:leave_one_year_out,ridge_alpha_100,R3_river_specific_seasonality,raw,leave_one_year_out,mid,270,1.5043777517503107,1.207181470375675,1.019056454494288,-0.41924995836331136,-0.4695075742864356,-0.6434089818093947,0.45614952080551174,0.45468597105131553
R3_river_specific_seasonality:ridge_alpha_10:raw:leave_one_year_out,ridge_alpha_10,R3_river_specific_seasonality,raw,leave_one_year_out,extreme_high,56,4.037053200641198,3.256069951308732,2.193888352040572,-1.2305684421886034,3.049842834766576,2.159835613808408,0.42327884705358376,0.4396921835434411
R3_river_specific_seasonality:ridge_alpha_10:raw:leave_one_year_out,ridge_alpha_10,R3_river_specific_seasonality,raw,leave_one_year_out,high,81,1.6465590722142691,1.230461282550028,0.8284625464875752,-3.545194392910261,0.638910285240287,0.4537164116719943,0.2066959312710924,0.22567438347307342
R3_river_specific_seasonality:ridge_alpha_10:raw:leave_one_year_out,ridge_alpha_10,R3_river_specific_seasonality,raw,leave_one_year_out,low,138,1.4476499900544053,1.1523664043521673,0.9838622581163405,-6.984422660164302,-0.8520894362357445,-0.8170364545982511,0.2883323639543859,0.28570165681917514
R3_river_specific_seasonality:ridge_alpha_10:raw:leave_one_year_out,ridge_alpha_10,R3_river_specific_seasonality,raw,leave_one_year_out,mid,270,1.5583782572031992,1.2061253085590258,0.9513025969387248,-0.5229682396873927,-0.388270651116719,-0.33174585589329775,0.5803888983487896,0.5835054944855201
R3_river_specific_seasonality:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,R3_river_specific_seasonality,raw,leave_one_year_out,extreme_high,56,3.7863851475159467,2.989202953646259,2.2993441350971233,-0.962167979103894,2.670027773184642,1.9879629034171389,0.44765866916758373,0.4496721916253107
R3_river_specific_seasonality:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,R3_river_specific_seasonality,raw,leave_one_year_out,high,81,1.6662956346928646,1.2645145069165968,1.0017941604346685,-3.6548098332958467,0.45743187001355473,0.2953174727288417,0.17404783186664508,0.21583981646635506
R3_river_specific_seasonality:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,R3_river_specific_seasonality,raw,leave_one_year_out,low,138,1.4075982447800464,1.09641003526257,0.8917738249529987,-6.548728546768321,-0.6634436042999694,-0.600488817868502,0.2909904475759542,0.30240754454160507
R3_river_specific_seasonality:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,R3_river_specific_seasonality,raw,leave_one_year_out,mid,270,1.6103114072041924,1.2467914240648648,1.0150852470036416,-0.6261658067986957,-0.35522323207079887,-0.31259173160359355,0.5903846268820764,0.5985887121654863
R4_river_specific_Q_and_season:linear_regression:raw:leave_one_year_out,linear_regression,R4_river_specific_Q_and_season,raw,leave_one_year_out,extreme_high,56,3.6312732596664206,2.8724217098016527,1.9915144967073601,-0.8046977274346181,2.3834469995378056,1.7975610252682328,0.4680378753105627,0.4562834438816419
R4_river_specific_Q_and_season:linear_regression:raw:leave_one_year_out,linear_regression,R4_river_specific_Q_and_season,raw,leave_one_year_out,high,81,1.6793425533713953,1.257323639725947,0.8592206999584651,-3.7279885447472223,0.37449358222884216,-0.04029430479116414,0.1488495584689605,0.17605786346903773
R4_river_specific_Q_and_season:linear_regression:raw:leave_one_year_out,linear_regression,R4_river_specific_Q_and_season,raw,leave_one_year_out,low,138,1.3313413889992425,1.0595518614289978,0.8802792026115935,-5.752976562676758,-0.6190686978900894,-0.6873601589270713,0.43305278950701337,0.42311255355676003
R4_river_specific_Q_and_season:linear_regression:raw:leave_one_year_out,linear_regression,R4_river_specific_Q_and_season,raw,leave_one_year_out,mid,270,1.5871696448149681,1.1937678518195336,0.9620308261910586,-0.5797624395895031,-0.2900442673703274,-0.12343912473318719,0.5835797380858743,0.584662108194861
R4_river_specific_Q_and_season:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,R4_river_specific_Q_and_season,raw,leave_one_year_out,extreme_high,56,3.666503896026948,2.9157578123841046,2.032281226543552,-0.8398859794556048,2.4501013502566056,1.7478094318131925,0.4723804242705598,0.45824152874364127
R4_river_specific_Q_and_season:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,R4_river_specific_Q_and_season,raw,leave_one_year_out,high,81,1.6625531818052481,1.248002260114348,0.8668650593780711,-3.633924171388827,0.4080937986074504,0.029004145704506712,0.14629468642415264,0.18361575860364215
R4_river_specific_Q_and_season:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,R4_river_specific_Q_and_season,raw,leave_one_year_out,low,138,1.3133965529589544,1.0395444178787716,0.8593762608791473,-5.572159872418671,-0.6377157264900032,-0.5973617034135346,0.39943477403870004,0.395082950671682
R4_river_specific_Q_and_season:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,R4_river_specific_Q_and_season,raw,leave_one_year_out,mid,270,1.5858367956924428,1.202110543832197,0.9333513951666874,-0.5771102960202803,-0.3054700654766868,-0.21418026262098877,0.5900580727150035,0.5935389604013356
