river,year,annual_flux_TgC,annual_flux_90_lower_TgC,annual_flux_90_upper_TgC,may_july_flux_TgC,may_july_flux_90_lower_TgC,may_july_flux_90_upper_TgC,may_july_flux_fraction_of_annual,annual_confidence_tier,may_july_confidence_tier,cohort_core_2003_2024,cohort_high_confidence_only,cohort_sensitivity_only,cohort_exclude_from_trend,caveat_reason
Mackenzie,2019,1.1100524413553532,0.7894453786803012,1.4358291112123402,0.4526292966394426,0.3285380074318698,0.5787214875568859,0.4077548769558947,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Mackenzie,2020,2.193086665294724,1.6623569394623343,2.7323741071656724,1.0338128715926471,0.7999185444839847,1.2714786121665842,0.4713962689904529,medium,medium,True,False,False,False,annual:large_logQ_or_doy_extrapolation_day_count
Mackenzie,2021,2.005616538749908,1.5077806322392564,2.5114797671050915,0.96456797877677,0.7433834775823377,1.18931895469689,0.4809333988529936,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Mackenzie,2022,1.8226606726830896,1.3671061305127945,2.285560773660846,1.0929795816449477,0.8492826728431616,1.3406059649862072,0.5996615815691033,medium,medium,True,False,False,False,annual:large_logQ_or_doy_extrapolation_day_count
Mackenzie,2023,1.0172773689433805,0.7210300362683192,1.3183015219599776,0.5329960299339428,0.3936454205132833,0.6745935889547059,0.5239436619803622,high,high,True,True,False,False,annual:large_logQ_or_doy_extrapolation_day_count
Mackenzie,2024,0.781065014076653,0.5341836633198866,1.0319271866946382,0.3850016089198021,0.2744650667663611,0.4973204901690037,0.4929187737014917,high,high,True,True,False,False,annual:large_logQ_or_doy_extrapolation_day_count
Mackenzie,2025,0.7345800655910971,0.5074895340625818,0.9653323032372008,0.2660749351895766,0.1886536431921026,0.3447446016420778,,low,low,False,False,True,False,annual:outside_core_2003_2024_period;coverage_lt_0_95;annual_confidence_tier_low;outside_training_year_range;may_july:annual_year_not_in_core_cohort;may_july_coverage_lt_0_95;may_july_confidence_tier_low;annual_fraction_not_available
Ob,2000,3.712977843600731,2.62472075442118,5.196882813224987,2.2187131896996517,1.5964782682258734,3.0671684871007567,,low,high,False,False,False,True,annual:coverage_lt_0_90;may_july:annual_year_not_in_core_cohort;annual_fraction_not_available
Ob,2001,4.817518007038791,3.4560650508261097,6.673942217568614,2.4520708393089263,1.7792974903233358,3.369438367549081,0.5089904875760192,high,high,False,True,True,False,annual:outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range;may_july:annual_year_not_in_core_cohort
Ob,2002,6.014554945067764,4.367617898011335,8.260254139756968,2.620187720218405,1.909121716745962,3.589769620281293,0.4356411644999752,high,high,False,True,True,False,annual:outside_core_2003_2024_period;outside_training_year_range;may_july:annual_year_not_in_core_cohort
Ob,2003,3.925575699706013,2.7613271010967555,5.513099731051248,2.39162183047743,1.7352329503910833,3.286648135245685,0.609241042188166,high,medium,True,True,False,False,provisional_may_july_core_interpretation_allowed
Ob,2004,3.480424714362392,2.433868617448516,4.907467835553435,2.0862266455356258,1.5082428321986516,2.874342855851079,0.5994172598897372,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Ob,2005,3.5354676231389224,2.4590121081006413,5.0032804260392085,2.1250089669119467,1.526153432049305,2.941585043562754,0.601054568568014,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Ob,2006,3.596825489156057,2.5197007349245606,5.065550840547462,1.9465376847163025,1.4017450154858004,2.689395744015032,0.5411821314614375,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Ob,2007,5.140499281886072,3.685715971849952,7.124185126851748,2.431751789329555,1.7586204216697183,3.349607497885937,0.4730575097828501,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Ob,2008,4.064104539431131,2.861230840423221,5.704296252892739,2.2872946593946217,1.656222814129955,3.1477996418011127,0.5628040905942797,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Ob,2009,3.942709696648059,2.766475144280295,5.546577307580122,2.232505553471828,1.6115068193346962,3.079275233981047,0.5662363514538792,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Ob,2010,3.569067182977504,2.486648866919656,5.045010629044549,1.924388525426851,1.371009289749808,2.678954892209832,0.5391852903764689,high,high,True,True,False,False,annual:large_logQ_or_doy_extrapolation_day_count
Ob,2011,3.957221796028007,2.757664884309361,5.592890867559998,2.345890824427184,1.68480934243197,3.247315778340271,0.5928125703699074,medium,medium,True,False,False,False,provisional_may_july_core_interpretation_allowed
Ob,2012,2.721498794319929,1.8301090137347609,3.936963171657303,1.4441116190201793,1.0026183335974963,2.046114662977717,0.530630997167517,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Ob,2013,3.6749925604503457,2.567566639996415,5.1850354016058455,1.767865420948046,1.2535485799074848,2.469167828228407,0.4810527890514711,high,high,True,True,False,False,annual:large_logQ_or_doy_extrapolation_day_count
Ob,2014,4.946947539556345,3.526403601159364,6.883945911279429,2.5073959467373665,1.820360668135563,3.444210486574649,0.5068571935901782,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Ob,2015,5.771512611062653,4.163648187747683,7.963933898240201,2.528562376988827,1.834336037587168,3.4751823671777538,0.4381108640639818,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Ob,2016,4.655906590068793,3.284441897358448,6.525982414441677,2.6016400464289555,1.8852702520251827,3.5784539891765204,0.5587826980846957,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
