analysis_cohort,river,metric,metric_unit,n_years,year_min,year_max,value_mean,value_median,slope_ols_per_year,intercept_ols,slope_ols_p_value,slope_ols_r2,slope_ols_standard_error,slope_theilsen_per_year,theilsen_ci_lower,theilsen_ci_upper,kendall_tau,kendall_p_value,slope_percent_per_year,total_change_percent_over_period,trend_direction,trend_strength,detectable_trend,trend_language
full_2000_2025_sensitivity,Yukon,may_july_flux_TgC,TgC_per_year,26,2000,2025,0.8249724293972793,0.8242963817772575,0.008779776757057881,-16.844328294181707,0.20187215090737792,0.06693977718900167,0.006690992743913916,0.006213126839758078,-0.003920175553410177,0.015929605252609124,0.14461538461538462,0.313954327988493,1.0642509306004737,26.606273265011843,flat_or_uncertain,not_detected,False,no detectable trend
full_2000_2025_sensitivity,Yukon,may_july_flux_fraction_of_annual,fraction_per_year,24,2002,2025,0.605915691703811,0.6007195946829594,-0.005485907645767919,11.651790736457516,0.015204947260756071,0.23955673265375446,0.0020838495989349585,-0.004569608536621075,-0.007837666429636774,-0.0008119068815994732,-0.34057971014492755,0.019867880493143635,-0.9053912484658986,-20.823998714715664,decreasing,weak,True,detectable trend
high_confidence_only_sensitivity,Kolyma,may_july_flux_TgC,TgC_per_year,18,2000,2025,0.5229406237481891,0.5112540321334003,0.002790590613139285,-5.095138411748556,0.5570163198314776,0.02199307389460936,0.004652261693991798,0.002528878635228665,-0.0030550414764667633,0.011149658461890108,0.12418300653594773,0.500867331358937,0.533634314568576,13.340857864214401,flat_or_uncertain,not_detected,False,no detectable trend
high_confidence_only_sensitivity,Kolyma,may_july_flux_fraction_of_annual,fraction_per_year,18,2000,2025,0.6930348014122213,0.6922373273165223,-0.003070176219034794,6.8739817917112696,0.23873452643475881,0.08559687207640986,0.0025086681508301643,-0.003911062239804657,-0.00904552297817465,0.0017866889143778985,-0.22875816993464054,0.20082494101911527,-0.44300462441115346,-11.075115610278836,flat_or_uncertain,not_detected,False,no detectable trend
high_confidence_only_sensitivity,Lena,may_july_flux_TgC,TgC_per_year,23,2000,2023,4.192941627721458,4.370906621595479,-0.011455806476853922,27.23505115955694,0.5068226399426465,0.021257223042922428,0.016962780464839924,-0.004945973607488459,-0.03906509320460696,0.018874456300703682,-0.07509881422924901,0.6381968845774691,-0.2732164550327707,-6.283978465753726,flat_or_uncertain,not_detected,False,no detectable trend
high_confidence_only_sensitivity,Lena,may_july_flux_fraction_of_annual,fraction_per_year,23,2000,2023,0.6682984646994422,0.672212324297384,-0.0012390939460286458,3.1606012530114946,0.5300391729645446,0.01904479835061298,0.0019405774731075416,-0.0017645140026853864,-0.005478492990068558,0.0025163746557527733,-0.11462450592885376,0.46394161057118555,-0.18541026374883426,-4.264436066223188,flat_or_uncertain,not_detected,False,no detectable trend
high_confidence_only_sensitivity,Mackenzie,may_july_flux_TgC,TgC_per_year,21,2000,2024,0.7287247158146049,0.7266554977223548,-0.008492920934495597,17.808797564698057,0.07435615659397664,0.15800940083256082,0.004497720240714366,-0.008448582914582841,-0.016820914218113547,0.002489165602678704,-0.2,0.2185978414343827,-1.1654498262765502,-27.970795830637208,flat_or_uncertain,not_detected,False,no detectable trend
high_confidence_only_sensitivity,Mackenzie,may_july_flux_fraction_of_annual,fraction_per_year,21,2000,2024,0.5008015157239563,0.510151826588909,-5.802785440238161e-05,0.6175010573894697,0.9596800777132936,0.0001380921520806552,0.0011327790928929006,0.00023108717445130908,-0.00167371840323934,0.001971807778444657,0.0380952380952381,0.8346819234227341,-0.011586996560602822,-0.2780879174544677,flat_or_uncertain,not_detected,False,no detectable trend
high_confidence_only_sensitivity,Ob,may_july_flux_TgC,TgC_per_year,19,2001,2023,2.208948297096535,2.2484701742407074,-0.005062615733169018,12.393865338394038,0.6652722699205975,0.011274813596056098,0.011498299513695005,-0.005217268046328483,-0.027445660729637278,0.01712019870539909,-0.06432748538011696,0.7300327269910041,-0.22918670119275197,-5.042107426240543,flat_or_uncertain,not_detected,False,no detectable trend
high_confidence_only_sensitivity,Ob,may_july_flux_fraction_of_annual,fraction_per_year,19,2001,2023,0.5341336902878348,0.5410074515135522,0.00169769271464148,-2.8812666425782676,0.36994991701405255,0.04752255232223795,0.0018433682214059964,0.0013325465447701634,-0.002477660684461029,0.004828526258189731,0.07602339181286549,0.6787251905778028,0.3178404106519896,6.992489034343771,flat_or_uncertain,not_detected,False,no detectable trend
