model_id,feature_set,validation_scheme,year,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
ridge_alpha_1,F2_q_season,river_year_groupkfold,2003,5,5,,2.2429843671413594,2.0863767619802047,2.493735405401573,0.42647299689460505,-0.45672645561085456,-0.713349028981483,0.7,0.6730850085515273
ridge_alpha_1,F2_q_season,river_year_groupkfold,2004,42,3,,2.4252180137289203,2.049276868071408,1.7292724816599079,0.48878749776431174,-0.5460533386655678,-0.9195144603820351,0.7358865544343471,0.7445872910080021
ridge_alpha_1,F2_q_season,river_year_groupkfold,2005,42,4,,2.3212580689614675,1.862207788664245,1.4688489594030285,0.4146698954594914,0.08023815383009396,-0.5247170447661103,0.5707222477172894,0.6451833426739041
ridge_alpha_1,F2_q_season,river_year_groupkfold,2006,11,5,,3.0293230816426506,2.5958032638654425,2.3167711359191854,0.2257000416372228,1.2372371118440315,1.4382513989644998,0.4909090909090909,0.6231373178771321
ridge_alpha_1,F2_q_season,river_year_groupkfold,2007,1,1,,0.09308139966613815,0.09308139966613815,0.09308139966613815,,0.09308139966613815,0.09308139966613815,,
ridge_alpha_1,F2_q_season,river_year_groupkfold,2009,28,3,,3.0042366794784083,2.5391332213274445,2.040982816399233,0.3761247290901728,0.15749004468207817,-0.8823955569045023,0.5896523626356317,0.6458263942868574
ridge_alpha_1,F2_q_season,river_year_groupkfold,2010,30,3,,3.5531403704630997,2.5886223324616746,1.6452446974801278,0.19665450750060887,1.3107992593450288,0.3912695452726016,0.540678993010213,0.5638013274275537
ridge_alpha_1,F2_q_season,river_year_groupkfold,2011,30,4,,4.017395924241187,2.8919808263442435,1.9508053633142932,0.2522565076617791,1.9595878132083433,0.8358675625230583,0.7518648614735537,0.7373840015349257
ridge_alpha_1,F2_q_season,river_year_groupkfold,2012,23,4,,2.641504521464513,2.137859330731053,1.7037982378300942,0.4431991524673805,-0.14622217472614835,-0.8253445800069255,0.511984201446697,0.671407224383352
ridge_alpha_1,F2_q_season,river_year_groupkfold,2013,33,5,,3.0396567144543543,2.437031085008823,2.1169132115792304,0.13479672335545123,0.015283010767693454,-0.31276425428359467,0.3838181424815041,0.4829864907647693
ridge_alpha_1,F2_q_season,river_year_groupkfold,2014,35,3,,3.518094700398367,2.536426019757284,1.9785223736710265,0.3725884936232007,0.5470377718273487,-0.6537036796139608,0.6357840560445613,0.6378172927387333
ridge_alpha_1,F2_q_season,river_year_groupkfold,2015,36,4,,2.844162414712037,2.3618782155744316,2.0383836042761274,0.21824016996756623,-0.2139901466468148,-1.1453866492645761,0.5934844979869975,0.5288973736337365
ridge_alpha_1,F2_q_season,river_year_groupkfold,2016,37,4,,2.3281660094168846,1.9358324889525866,1.719510851786291,-0.06539698439568653,-0.4866311503169344,-0.7669701978003545,0.4855313639297876,0.5374425658925093
ridge_alpha_1,F2_q_season,river_year_groupkfold,2017,35,3,,2.479118792979901,2.036605061595266,1.7271349536545109,0.09835203512875257,-0.1688375614985172,-0.6559420701243424,0.48163740050930104,0.5082520962276932
ridge_alpha_1,F2_q_season,river_year_groupkfold,2018,35,4,,2.5852639235174943,2.1984875159400747,2.037157026563619,0.039168704267340204,-0.2419120385734665,-0.7163686303420889,0.37612113532237934,0.4178444862266706
