river,year,n_days_expected,date_min,date_max,n_days_with_flux,annual_flux_kgC,annual_flux_MgC,annual_flux_TgC,annual_flux_80_lower_TgC,annual_flux_80_upper_TgC,annual_flux_90_lower_TgC,annual_flux_90_upper_TgC,annual_flux_95_lower_TgC,annual_flux_95_upper_TgC,n_outside_training_logQ_days,n_outside_training_doy_days,n_outside_training_year_days,n_point_prediction_clipped_days,n_interval_lower_clipped_days,n_high_confidence_days,n_low_confidence_days,n_medium_confidence_days,flux_from_high_confidence_days_TgC,flux_from_low_confidence_days_TgC,flux_from_medium_confidence_days_TgC,coverage_rate,fraction_flux_from_low_confidence_days,annual_confidence_tier,notes
Yenisey,2003,201,2003-02-07,2003-11-02,201.0,4157474635.735197,4157474.635735197,4.1574746357351975,3.429789775651511,4.972735290393694,3.313866735551783,5.275362188297374,2.733926130253298,5.454242839925342,15.0,0.0,201.0,0.0,13.0,0.0,15.0,186.0,0.0,1.8644834837400772,2.29299115199512,1.0,0.4484653899542953,low,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Yenisey,2004,213,2004-02-07,2004-11-02,213.0,4296356514.834206,4296356.514834206,4.296356514834206,3.5312107889735787,5.153586394953669,3.4093200866565394,5.471792379663631,2.8071163072591174,5.659881720998236,14.0,0.0,0.0,0.0,39.0,160.0,14.0,39.0,2.5976955982491168,1.6291161459628563,0.06954477062223319,1.0,0.379185512267881,low,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Yenisey,2005,213,2005-02-08,2005-11-04,213.0,3989412883.7586985,3989412.8837586986,3.9894128837586984,3.247137215359783,4.821020328891444,3.128889802512738,5.129715198386338,2.5369666172072125,5.312182585759925,12.0,0.0,0.0,0.0,0.0,201.0,12.0,0.0,2.540805502912969,1.4486073808457296,0.0,1.0,0.36311292489758484,low,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Yenisey,2006,225,2006-02-09,2006-11-02,225.0,3786097876.0569425,3786097.8760569426,3.7860978760569424,3.070694391682324,4.5875991096392195,2.956727822696532,4.885118474273075,2.391152358736283,5.06098009855798,10.0,0.0,0.0,0.0,51.0,164.0,10.0,51.0,2.5447529282154866,1.13903585859372,0.10230908924773616,1.0,0.30084691307029193,low,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Yenisey,2007,202,2007-02-07,2007-11-04,202.0,4755622259.608573,4755622.259608572,4.755622259608573,3.906111492219504,5.70737038898618,3.770781109309149,6.060661796259876,3.0933439511319003,6.269489886510451,5.0,0.0,0.0,0.0,0.0,197.0,5.0,0.0,4.228057345411986,0.5275649141965874,0.0,1.0,0.11093499134222876,medium,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Yenisey,2008,210,2008-02-07,2008-11-02,210.0,4468990523.099104,4468990.523099104,4.468990523099104,3.659515705589454,5.375884435357483,3.5305632058506253,5.712525839338212,2.885052470683408,5.911512228605545,5.0,0.0,0.0,0.0,0.0,205.0,5.0,0.0,3.9396128882710295,0.5293776348280742,0.0,1.0,0.11845575238789441,medium,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Yenisey,2009,209,2009-02-07,2009-11-03,209.0,3900111368.309247,3900111.368309247,3.900111368309247,3.1693294656554483,4.718841790021747,3.0529130545791627,5.022756674576078,2.4701555023674446,5.202398646142733,0.0,0.0,0.0,0.0,0.0,209.0,0.0,0.0,3.900111368309247,0.0,0.0,1.0,0.0,high,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Yenisey,2010,220,2010-02-07,2010-10-28,220.0,3900471358.715519,3900471.3587155193,3.900471358715519,3.148179694453002,4.74330020997162,3.028336694348581,5.05616049491472,2.4284263144898808,5.241090030348634,6.0,0.0,0.0,0.0,0.0,214.0,6.0,0.0,3.2699466179361902,0.630524740779329,0.0,1.0,0.1616534728220565,medium,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Yenisey,2011,198,2011-02-08,2011-11-04,198.0,4633165254.91252,4633165.254912521,4.63316525491252,3.8177286304554032,5.546738468749855,3.687826391586701,5.885859247033088,3.0385798491333333,6.086311177182392,14.0,0.0,0.0,0.0,9.0,175.0,14.0,9.0,3.006958833075327,1.6084044567118063,0.01780196512538721,1.0,0.3471502457216314,low,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Yenisey,2012,215,2012-02-09,2012-11-04,215.0,2542233450.1736255,2542233.4501736253,2.5422334501736255,1.995835044877202,3.1543900938546443,1.9087916450182023,3.3816242490291213,1.4825941463345416,3.5159407755220142,0.0,0.0,0.0,0.0,41.0,174.0,0.0,41.0,2.4716833056909184,0.0,0.07055014448270723,1.0,0.0,high,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Yenisey,2013,216,2013-02-08,2013-11-04,216.0,3434767907.7926197,3434767.90779262,3.4347679077926196,2.7769146830042644,4.171792793329581,2.6721160951263943,4.445378368094372,2.175856200563217,4.607092895880712,8.0,0.0,0.0,0.0,53.0,155.0,8.0,53.0,2.4156446964549754,0.9616298973738773,0.05749331396376734,1.0,0.2799693962413537,low,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Yenisey,2014,212,2014-02-10,2014-11-02,212.0,4578624857.278527,4578624.857278527,4.578624857278527,3.7580968016307157,5.497902248505503,3.627383477889345,5.839140432429074,2.9860009408232124,6.0408439463051655,8.0,0.0,0.0,0.0,30.0,174.0,8.0,30.0,3.656195010003095,0.8835347517548618,0.03889509552056988,1.0,0.19296945683381955,medium,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
