river,analysis_cohort,metric,unit,n_years,year_min,year_max,mean_value,median_value,slope_ols_per_year,intercept_ols,slope_ols_p_value,slope_ols_r2,slope_theilsen_per_year,kendall_tau,kendall_p_value,slope_percent_per_year,total_change_percent_over_period,trend_direction,detectable_trend,trend_language,season_window
Mackenzie,core_2003_2024,seasonal_fraction_of_annual,fraction/year,22,2003,2024,0.09988784741648468,0.09757285408244273,0.00025809767152729795,-0.4197918142037297,0.7134349906468316,0.006890199652922312,0.0008776209933440708,0.16883116883116883,0.2876167582552455,0.25838745973887467,5.426136654516369,flat_or_uncertain,False,no detectable trend,winter
Mackenzie,core_2003_2024,seasonal_Q_volume_km3,km3/year,22,2003,2024,31.80676974545455,30.391199999999998,-0.13686140530773558,307.37720933258015,0.4638937644399196,0.027126611746841868,-0.2640959999999974,-0.18614718614718614,0.23937855648715442,-0.4302901753400916,-9.036093682141923,flat_or_uncertain,False,no detectable trend,winter
Mackenzie,core_2003_2024,seasonal_flow_weighted_DOC,mg C/L/year,22,2003,2024,4.599318153916615,4.550036067008164,-0.010030348390142904,24.795424637469353,0.28492983203974764,0.056926064768696626,-0.014631453915816297,-0.16883116883116883,0.2876167582552455,-0.21808337789377363,-4.579750935769246,flat_or_uncertain,False,no detectable trend,winter
Ob,core_2003_2024,seasonal_flux_TgC,Tg C/year,22,2003,2024,0.5961847974809215,0.587084640441733,0.0022794843006773,-3.993556841932822,0.5996826012674876,0.014022609846470399,0.0022688595631358338,0.08225108225108224,0.6157664135385533,0.38234525776384726,8.029250413040792,flat_or_uncertain,False,no detectable trend,fall_winter
Ob,core_2003_2024,seasonal_fraction_of_annual,fraction/year,22,2003,2024,0.14523449645262906,0.14512408838598756,-0.0003502014138488062,0.8503650432372004,0.6562258929310327,0.010106089574317861,-0.0004968823097333135,-0.05627705627705628,0.7380940484479567,-0.24112825974718127,-5.0636934546908074,flat_or_uncertain,False,no detectable trend,fall_winter
Ob,core_2003_2024,seasonal_Q_volume_km3,km3/year,22,2003,2024,62.85723316363637,62.196336,0.19094546357989853,-321.6114577544893,0.614158687183139,0.012944862765612275,0.16076571428571437,0.09956709956709957,0.5394123595200279,0.30377643744326094,6.37930518630848,flat_or_uncertain,False,no detectable trend,fall_winter
Ob,core_2003_2024,seasonal_flow_weighted_DOC,mg C/L/year,22,2003,2024,9.431066813420953,9.42014596714209,0.007262636086981019,-5.192250947715328,0.5256076016868578,0.020440822750437706,0.012645129743143357,0.08225108225108224,0.6157664135385533,0.07700757751653152,1.6171591278471615,flat_or_uncertain,False,no detectable trend,fall_winter
Ob,core_2003_2024,seasonal_flux_TgC,Tg C/year,22,2003,2024,0.9581901699417856,0.8373174646857858,0.010633555847920383,-20.452474529845905,0.40209602099988906,0.03534807416203485,0.012095592546653655,0.14285714285714285,0.3711989339777388,1.109754220142586,23.304838622994307,flat_or_uncertain,False,no detectable trend,late_summer
Ob,core_2003_2024,seasonal_fraction_of_annual,fraction/year,22,2003,2024,0.22584879445936698,0.21534323937927796,0.0010442474090024232,-1.876743363567012,0.5440902566807969,0.018688586170226614,0.0012253270491517523,0.09956709956709957,0.5394123595200279,0.4623657219433581,9.709680160810521,flat_or_uncertain,False,no detectable trend,late_summer
Ob,core_2003_2024,seasonal_Q_volume_km3,km3/year,22,2003,2024,86.69356363636365,77.90256,0.8044913291925467,-1533.1497276928292,0.3994439907912314,0.03574110314552408,0.9359999999999976,0.1341991341991342,0.4020304086977944,0.927971230444497,19.487395839334436,flat_or_uncertain,False,no detectable trend,late_summer
Ob,core_2003_2024,seasonal_flow_weighted_DOC,mg C/L/year,22,2003,2024,10.862654197879994,10.752348810026106,0.018466188895626904,-26.31901714346478,0.40036451512000193,0.03560427229420016,0.026240775853534452,0.1341991341991342,0.4020304086977944,0.16999702429292882,3.5699375101515045,flat_or_uncertain,False,no detectable trend,late_summer
Ob,core_2003_2024,seasonal_flux_TgC,Tg C/year,22,2003,2024,2.230793237006589,2.2678824168176597,0.00899063555570185,-15.871851454399087,0.4153811885968014,0.03343246787197398,0.01080630820111596,0.14285714285714285,0.3711989339777388,0.4030241533171411,8.463507219659963,flat_or_uncertain,False,no detectable trend,may_july
Ob,core_2003_2024,seasonal_fraction_of_annual,fraction/year,22,2003,2024,0.5445741109992164,0.5499824147730654,-0.0013274839556198345,3.217463055639753,0.45320646034555023,0.02842913993039682,-0.002222406467534293,-0.1774891774891775,0.26275316600189397,-0.2437655277413187,-5.119076082567693,flat_or_uncertain,False,no detectable trend,may_july
Ob,core_2003_2024,seasonal_Q_volume_km3,km3/year,22,2003,2024,210.13127214545455,212.38632000000004,0.7649381800112923,-1330.0717533072825,0.388308470458256,0.03743158298457635,0.9412887272727217,0.16017316017316016,0.31397950542939346,0.3640287198574594,7.644603117006647,flat_or_uncertain,False,no detectable trend,may_july
